User,Client,"Client Type",Date,Duration,"Type Of Call","External Call Score"
"Summer Wright","Grace Edwards",Carer,"2021-09-05 10:00:34",551,Outgoing,16
"Summer Wright","Emily Jackson",Carer,"2021-09-23 12:13:42",716,Outgoing,83
"Summer Wright","Matilda Johnson",Carer,"2021-09-20 05:01:26",523,Incoming,10
"Summer Wright","Aaron Lloyd",Carer,"2021-09-18 10:15:35",341,Incoming,33
"Summer Wright","Isaac Saunders",Nurse,"2021-09-15 11:46:38",915,Incoming,2
"Summer Wright","Archie Parker",Carer,"2021-10-03 07:52:27",749,Incoming,78
"Summer Wright","Evelyn Collins",Nurse,"2021-09-23 07:23:00",128,Incoming,29
"Summer Wright","Charlotte Morris",Nurse,"2021-08-20 03:13:57",937,Incoming,24
"Summer Wright","Carlie Stewart",Carer,"2021-10-10 04:08:24",184,Incoming,91
"Summer Wright","Laura Hill",Carer,"2021-09-08 11:28:08",519,Incoming,82
"Summer Wright","Chelsea Carter",Carer,"2021-09-30 08:27:31",360,Incoming,54
"Summer Wright","Poppy Evans",Carer,"2021-09-17 11:39:30",122,Incoming,47
"Summer Wright","Jamie Ellis",Nurse,"2021-10-17 09:17:02",283,Incoming,94
"Summer Wright","Mohammed Ross",Carer,"2021-10-19 09:43:11",30,Incoming,10
"Summer Wright","Dan Taylor",Carer,"2021-08-28 04:44:46",239,Outgoing,92
"Summer Wright","Laura Hill",Carer,"2021-08-26 11:14:11",628,Outgoing,1
"Summer Wright","Abigail Matthews",Carer,"2021-09-10 03:57:48",677,Incoming,23
"Summer Wright","Rachel Saunders",Nurse,"2021-10-16 06:06:59",133,Incoming,62
"Summer Wright","Melissa Powell",Nurse,"2021-10-05 02:58:25",99,Incoming,46
"Summer Wright","Adam Robinson",Carer,"2021-10-06 12:10:52",293,Incoming,31
"Summer Wright","Rachel Saunders",Nurse,"2021-09-19 06:28:39",506,Outgoing,70
"Summer Wright","Joe Watson",Carer,"2021-09-18 07:23:49",373,Outgoing,24
"Summer Wright","Tony Harris",Carer,"2021-09-08 09:09:32",878,Incoming,25
"Summer Wright","Alexander Watson",Carer,"2021-08-25 11:17:17",973,Outgoing,54
"Summer Wright","Luke Ward",Nurse,"2021-09-28 05:26:22",997,Outgoing,53
"Summer Wright","Mohammed Ross",Carer,"2021-08-30 03:02:43",91,Outgoing,95
"Summer Wright","Dominic Miller",Carer,"2021-09-23 10:18:19",703,Incoming,7
"Summer Wright","Nikki Miller",Carer,"2021-09-14 12:53:36",52,Outgoing,93
"Summer Wright","Grace Edwards",Carer,"2021-10-14 06:35:15",593,Outgoing,93
"Summer Wright","William Holmes",Carer,"2021-09-19 10:49:49",137,Incoming,58
"Summer Wright","Nikki Rogers",Nurse,"2021-09-29 06:37:01",221,Incoming,52
"Summer Wright","Tim Hughes",Nurse,"2021-08-31 01:32:23",497,Incoming,84
"Summer Wright","Luke Ward",Nurse,"2021-09-06 05:48:52",264,Outgoing,16
"Summer Wright","Harrison Lloyd",Nurse,"2021-09-15 12:11:39",213,Incoming,73
"Summer Wright","Eileen Harrison",Carer,"2021-10-02 07:00:44",18,Incoming,86
"Summer Wright","Dan Taylor",Carer,"2021-10-09 12:04:56",963,Incoming,26
"Summer Wright","Harrison Lloyd",Nurse,"2021-10-04 01:21:44",645,Outgoing,7
"Summer Wright","Harrison Lloyd",Nurse,"2021-10-15 02:42:51",476,Incoming,22
"Summer Wright","Tony Harris",Carer,"2021-08-23 03:04:23",517,Outgoing,16
"Summer Wright","Melissa Powell",Nurse,"2021-08-29 01:03:00",958,Outgoing,46
"Summer Wright","Toby Richardson",Carer,"2021-09-04 08:55:52",184,Outgoing,60
"Summer Wright","Mandy Holmes",Nurse,"2021-09-07 01:54:54",563,Incoming,28
"Summer Wright","Becky Smith",Nurse,"2021-10-02 10:47:26",826,Incoming,57
"Summer Wright","Beth Adams",Carer,"2021-10-14 10:50:47",77,Incoming,40
"Summer Wright","Kirsten Collins",Nurse,"2021-10-07 08:46:27",687,Incoming,87
